Nom de l'entreprise;SIREN;Chiffre d'affaires;Marge nette
JAUHARI;490770146;1232887;3
SECURITEAM13;530801117;1156943;1
SAS NY'R;813420981;1129580;15
TCE - ETUDES ET CONSTRUCTIONS BTP;849986773;1069307;2
BOUCHERIE DU GRAND LITTORAL;952881829;1087034;0
ENTREPRISE GENERALE ERBAT;797438116;1183024;0
BSI BEST SECURITE INTERVENTION;921207338;1270354;10
FRANCE INVESTISSEMENT;815059555;1324906;5
GROUPE ROSSI;811563998;1325478;331
SAN DIEGO;429698194;1209809;13
MILLIA;921385332;1237538;9
INSTIT INTERNAT INGEN INFORMAT MANAGEM;453206211;1180083;1
SMIDA CONSTRUCTIONS;537647166;1344333;5
TRANS MASSILIA;381288810;1015571;8
BATI MASSILIA;753688704;1041026;17
BIRD FORMATION;881308365;1099393;5
GO LOGISTIQUE;844033068;1389583;-0
A.C.N AUDIT;395170095;1472942;8
ENERCOOP PROVENCE-ALPES-COTE D'AZUR;539192872;1054532;22
BARRAL AUDIT & EXPERTISE;442445433;1090451;9
SECMO SOCIETE D ETUDES DE COORDINATION ET DE MAITRISE D UVRE;329569248;1220098;4
TECH 27;894636976;1062645;3
GEOCORAIL;539529669;1415855;-129
331 CORNICHE ARCHITECTES;418480463;1493193;5
CANYON;323901207;1450655;-7
IMPERIAL 13;837941624;1041914;-8
ILOVIT TECHLID;901893321;1300365;-442
FACTORY REALISATION;814296141;1018500;22
MTCE EVOLUTION;812837300;1390375;3
TEAM INTERIM INSERTION;539038091;1196978;1
REMAN BY ADLC;904588191;1427976;1
JMS GROUP;892716275;1438096;4
CAP VERT ENERGIE CANTERRANE 2;534881339;1328644;19
COMPAGNIE HOTELIERE MAXIMOISE;839200862;1250214;0
EXPRESS MEDOC 13;920036449;1025110;11
BOUCHERIE LRV;830232278;1253590;-0
F.B. ZENN;752628784;1102008;6
SIBG SOC INVESTISSEMENT BRUNO GIRAVALLI;434495701;1106251;20
FF BONNEVEINE MENAGER;809297807;1405233;1
SARL GAM CONFECTION EQUATEUR;326942190;1081940;3
FORTIA IMMOBILIER;847544426;1196730;-3
RS SPVIR A1;879543973;1450928;-48
AMBULANCES ADAMA;477967491;1025964;8
CYCLABLE MARSEILLE;797448586;1039899;4
TERRANEA 2015;810768028;1072764;14
A.C.P.H. (AGENCE CENTRALE POUR PROTECTIO;447581844;1181144;6
BUSSUTIL PATRIMONIALE;809832413;1164376;3
HOVSAM;807878574;1224138;1
MILLENIUM 2014;804702116;1434687;-13
LES BAINS DE MER;828835363;1231533;12
ENTREPRISE MARSEILLAISE DU BATIMENT;752817841;1163403;3
LINCS TRADING;834048514;1263801;3
K.M.G. EQUIPEMENT;511869539;1147821;3
JAGUAR BIDCO;890752751;1131105;-5937
LAB ERIC;320809551;1250589;-1
KOKOPELLI;531980258;1200365;4
SOCIETE AZUR OFFSET;061805057;1234969;2
K.J.M. DISTRIBUTION;793926254;1351615;2
TOTEM;825179955;1023915;68
3 A ARCHITECTES ASSOCIES;438903841;1025171;18
GEPETTO;498311299;1428036;6
SFI SOCIETE FINANCIERE ET IMMOBILIERE;384402442;1293174;11
AZURDOM;488255795;1211982;5
A&L TRANSPORTS;889124053;1365503;0
PIECES AUTOMOBILES MARSEILLE;751749482;1363519;3
PIERIC;442608683;1356053;-1
BATINNOV';820031995;1253312;-12
PARCEL SUD;818383416;1009438;-0
GREENCITYZEN;812754000;1455502;-9
BIOVAC EUROPE;918451063;1142301;2
KOSSORIA;500960505;1365224;4
NMB NOUVEAU MONDE DE LA BUREAUTIQUE;437821176;1055794;5
AES ACCES EQUIPEMENTS SERVICES;437838899;1313780;15
HAPPY HOURS;422717975;1120753;-1
IMAGERIE DU LIDO;453748543;1190357;2
FINALEASE GROUP SECURITY;907746440;1152296;-8
IFTE MARSEILLE;880509971;1013480;34
MAISON DASTRU;300502051;1206548;2
SPACE GOLF;440025963;1098072;-40
POINT IMMO;399983220;1214841;3
PACK PLUS;383916160;1039332;4
FANNY PRODUCTIONS;411604267;1259295;5
NEON PRODUCTIONS;444064919;1012217;-30
COMPTA+;403340177;1249956;14
LAURENCE;804093847;1032557;9
PHARMACIE PLACIDI;900666173;1014860;5
FR.RESTAURATION;829511096;1265180;-1
TMTF TELMEDTELFILS;909666174;1065020;60
EDEM DISTRI;913549077;1385411;-6
CVE FINDEV;510228455;1424672;-33
OBELISK;809691363;1340657;-4
ARAMA;893630723;1091361;-1
GEDO FRANCE;494021678;1398619;2
B.H.T.;790232409;1174374;10
NAMTODIS;795221639;1132413;9
